Source,Target,inflow,weight
46,22,171,0.0171
47,22,2426,0.2426
48,22,20638,2.0638
49,22,453,0.0453
5,22,2257,0.2257
50,22,32,0.0032
51,22,2514,0.2514
53,22,1568,0.1568
54,22,348,0.0348
55,22,534,0.0534
56,22,120,0.012
6,22,4959,0.4959
72,22,466,0.0466
8,22,1875,0.1875
9,22,293,0.0293
AFR,22,513,0.0513
ASI,22,4868,0.4868
CAM,22,3266,0.3266
CAR,22,1069,0.1069
EUR,22,3280,0.328
ISL,22,122,0.0122
NAM,22,370,0.037
OCE,22,227,0.0227
SAM,22,733,0.0733
1,23,133,0.0133
10,23,89,0.0089
11,23,114,0.0114
12,23,2640,0.264
13,23,435,0.0435
15,23,226,0.0226
16,23,93,0.0093
17,23,341,0.0341
18,23,110,0.011
19,23,255,0.0255
2,23,224,0.0224
20,23,295,0.0295
21,23,299,0.0299
22,23,522,0.0522
24,23,341,0.0341
25,23,5937,0.5937
26,23,210,0.021
27,23,176,0.0176
28,23,10,0.001
29,23,364,0.0364
30,23,98,0.0098
31,23,99,0.0099
32,23,131,0.0131
33,23,4429,0.4429
34,23,1025,0.1025
35,23,228,0.0228
36,23,2533,0.2533
37,23,798,0.0798
38,23,52,0.0052
39,23,529,0.0529
4,23,370,0.037
40,23,123,0.0123
41,23,211,0.0211
42,23,1774,0.1774
44,23,669,0.0669
45,23,339,0.0339
46,23,11,0.0011
47,23,208,0.0208
48,23,915,0.0915
49,23,275,0.0275
5,23,2,2e-04
50,23,856,0.0856
51,23,682,0.0682
53,23,673,0.0673
54,23,75,0.0075
55,23,236,0.0236
56,23,89,0.0089
6,23,1762,0.1762
72,23,30,0.003
8,23,521,0.0521
9,23,1811,0.1811
AFR,23,912,0.0912
ASI,23,1333,0.1333
CAM,23,299,0.0299
CAR,23,114,0.0114
